ModeBeforeSwitch,ModeAfterSwitch,ErrorPhase,ErrorType,WritePattern,WriteLength,LogicalLBAAlignment,PowerCycle
PCIe,SD,NvmSubSystemResetIdleState,EraseFailure,Random,Alignedto4K,AlignedtoDiePage,Frequent_25Commands
SD,SD,HostWrites,UnGracefulShutdown,Overlapped,Unalignedto4K,Alignedto4K,InFrequent_75Commands
PCIe,PCIe,Format_SES2_FFLBA2,UncorrectableECC_DecodeFail,Overlapped,DiePageAligned,Unalignedto4K,NoPowerCycle
SD,PCIe,DuringWriteToMTMBlock,Wordline_WordlineShort,Sequential_Random,SingleSector,Unalignedto4K,Frequent_25Commands
SD,PCIe,DuringSLCtoTLCRelocation,ProgramFailure,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
PCIe,SD,DuringWriteToLogBlock,CorrectableECC_DecodePass,Sequential,SingleSector,AlignedtoDiePage,InFrequent_75Commands
PCIe,PCIe,PCIeFunctionalLevelResetWithAdminAndIOCmds,GracefulShutdown,Sequential_Random,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
PCIe,PCIe,NoError,NoError,Random,DiePageAligned,Alignedto4K,InFrequent_75Commands
SD,SD,DuringWriteToFSBlock,UncorrectableECC_DecodeFail,Sequential_Random,Alignedto4K,Alignedto4K,InFrequent_75Commands
PCIe,PCIe,Format_SES2_FFLBA0,UnGracefulShutdown,Sequential,DiePageAligned,AlignedtoDiePage,Frequent_25Commands
SD,PCIe,DuringWriteToXORBlock,CorrectableECC_DecodePass,Random,Unalignedto4K,Unalignedto4K,NoPowerCycle
SD,SD,DuringWriteToBootBlock,GracefulShutdown,Overlapped,Alignedto4K,Unalignedto4K,InFrequent_75Commands
SD,PCIe,DuringTLCtoSLCRelocation,EraseFailure,Sequential,Unalignedto4K,Unalignedto4K,InFrequent_75Commands
PCIe,SD,DuringTLCtoSLCRelocation,ProgramFailure,Sequential_Random,DiePageAligned,AlignedtoDiePage,Frequent_25Commands
PCIe,SD,PCIeLinkResetWithAdminAndIOCmds,Wordline_WordlineShort,Overlapped,DiePageAligned,AlignedtoDiePage,NoPowerCycle
PCIe,SD,ShortDST,UnGracefulShutdown,Random,SingleSector,Unalignedto4K,NoPowerCycle
PCIe,PCIe,Format_SES0_FFLBA0,UncorrectableECC_DecodeFail,Sequential,Unalignedto4K,AlignedtoDiePage,Frequent_25Commands
PCIe,PCIe,PCIeLinkResetIdleState,GracefulShutdown,Sequential,SingleSector,Alignedto4K,Frequent_25Commands
PCIe,SD,NvmControllerResetWithAdminAndIOCmds,CorrectableECC_DecodePass,Overlapped,Alignedto4K,Alignedto4K,Frequent_25Commands
SD,PCIe,DuringWriteToLogBlock,EraseFailure,Overlapped,DiePageAligned,Alignedto4K,NoPowerCycle
PCIe,SD,PCIeHotLinkResetWithAdminAndIOCmds,Wordline_WordlineShort,Random,Alignedto4K,Alignedto4K,InFrequent_75Commands
PCIe,SD,NvmSubSystemResetWithAdminAndIOCmds,ProgramFailure,Overlapped,Unalignedto4K,Unalignedto4K,InFrequent_75Commands
PCIe,PCIe,Format_SES0_FFLBA2,EraseFailure,Sequential_Random,SingleSector,AlignedtoDiePage,Frequent_25Commands
PCIe,PCIe,DuringWriteToFSBlock,ProgramFailure,Random,SingleSector,AlignedtoDiePage,NoPowerCycle
PCIe,SD,Format_SES1_FFLBA2,Wordline_WordlineShort,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
PCIe,PCIe,HostWrites,GracefulShutdown,Random,DiePageAligned,Unalignedto4K,NoPowerCycle
PCIe,PCIe,DuringWriteToBootBlock,UncorrectableECC_DecodeFail,Random,SingleSector,Alignedto4K,Frequent_25Commands
PCIe,PCIe,Format_SES1_FFLBA0,UnGracefulShutdown,Sequential_Random,Alignedto4K,Unalignedto4K,Frequent_25Commands
PCIe,SD,ExtenedDST,CorrectableECC_DecodePass,Sequential_Random,DiePageAligned,AlignedtoDiePage,InFrequent_75Commands
PCIe,SD,DuringSLCtoTLCRelocation,Wordline_WordlineShort,Random,DiePageAligned,AlignedtoDiePage,InFrequent_75Commands
PCIe,SD,DuringWriteToMTMBlock,ProgramFailure,Overlapped,Alignedto4K,AlignedtoDiePage,InFrequent_75Commands
PCIe,PCIe,NvmControllerResetIdleState,ProgramFailure,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
PCIe,PCIe,PCIeFunctionalLevelResetIdleState,Wordline_WordlineShort,Random,Alignedto4K,Alignedto4K,NoPowerCycle
PCIe,SD,DuringWriteToXORBlock,UncorrectableECC_DecodeFail,Sequential,SingleSector,AlignedtoDiePage,InFrequent_75Commands
PCIe,PCIe,PCIeLinkResetWithAdminAndIOCmds,CorrectableECC_DecodePass,Random,Alignedto4K,Alignedto4K,Frequent_25Commands
PCIe,SD,Format_SES0_FFLBA2,UncorrectableECC_DecodeFail,Sequential,Alignedto4K,Alignedto4K,InFrequent_75Commands
PCIe,PCIe,Format_SES1_FFLBA2,UnGracefulShutdown,Random,SingleSector,AlignedtoDiePage,InFrequent_75Commands
PCIe,PCIe,ExtenedDST,GracefulShutdown,Overlapped,Alignedto4K,Alignedto4K,Frequent_25Commands
PCIe,SD,Format_SES2_FFLBA2,UnGracefulShutdown,Sequential,Unalignedto4K,AlignedtoDiePage,Frequent_25Commands
PCIe,PCIe,NvmControllerResetWithAdminAndIOCmds,UnGracefulShutdown,Random,Unalignedto4K,Unalignedto4K,InFrequent_75Commands
PCIe,PCIe,NvmSubSystemResetWithAdminAndIOCmds,EraseFailure,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
PCIe,PCIe,ShortDST,CorrectableECC_DecodePass,Sequential_Random,Unalignedto4K,AlignedtoDiePage,InFrequent_75Commands
PCIe,PCIe,NvmSubSystemResetIdleState,Wordline_WordlineShort,Overlapped,DiePageAligned,Alignedto4K,NoPowerCycle
PCIe,SD,PCIeLinkResetIdleState,UnGracefulShutdown,Sequential_Random,DiePageAligned,Unalignedto4K,NoPowerCycle
PCIe,SD,Format_SES2_FFLBA0,CorrectableECC_DecodePass,Overlapped,Unalignedto4K,Alignedto4K,InFrequent_75Commands
PCIe,SD,Format_SES1_FFLBA0,EraseFailure,Overlapped,DiePageAligned,Alignedto4K,NoPowerCycle
PCIe,SD,PCIeFunctionalLevelResetIdleState,UncorrectableECC_DecodeFail,Overlapped,Unalignedto4K,Unalignedto4K,Frequent_25Commands
PCIe,SD,Format_SES0_FFLBA0,EraseFailure,Overlapped,Alignedto4K,Unalignedto4K,InFrequent_75Commands
PCIe,PCIe,PCIeHotLinkResetWithAdminAndIOCmds,CorrectableECC_DecodePass,Sequential,Unalignedto4K,AlignedtoDiePage,Frequent_25Commands
PCIe,SD,NvmControllerResetIdleState,Wordline_WordlineShort,Sequential_Random,DiePageAligned,Alignedto4K,InFrequent_75Commands
PCIe,SD,PCIeFunctionalLevelResetWithAdminAndIOCmds,EraseFailure,Random,SingleSector,Unalignedto4K,InFrequent_75Commands
SD,PCIe,HostWrites,CorrectableECC_DecodePass,Sequential_Random,Alignedto4K,AlignedtoDiePage,Frequent_25Commands
SD,SD,DuringWriteToXORBlock,UnGracefulShutdown,Sequential_Random,DiePageAligned,Alignedto4K,Frequent_25Commands
PCIe,SD,NvmControllerResetWithAdminAndIOCmds,UncorrectableECC_DecodeFail,Sequential_Random,SingleSector,AlignedtoDiePage,NoPowerCycle
SD,PCIe,DuringSLCtoTLCRelocation,UnGracefulShutdown,Overlapped,Unalignedto4K,Unalignedto4K,Frequent_25Commands
PCIe,PCIe,PCIeHotLinkResetWithAdminAndIOCmds,GracefulShutdown,Sequential_Random,DiePageAligned,Unalignedto4K,NoPowerCycle
SD,SD,DuringWriteToFSBlock,Wordline_WordlineShort,Overlapped,DiePageAligned,Unalignedto4K,Frequent_25Commands
PCIe,PCIe,PCIeFunctionalLevelResetWithAdminAndIOCmds,UncorrectableECC_DecodeFail,Sequential,Alignedto4K,Alignedto4K,Frequent_25Commands
PCIe,SD,NvmControllerResetIdleState,GracefulShutdown,Random,SingleSector,Unalignedto4K,Frequent_25Commands
SD,PCIe,DuringWriteToLogBlock,Wordline_WordlineShort,Sequential_Random,Alignedto4K,Unalignedto4K,Frequent_25Commands
PCIe,SD,Format_SES1_FFLBA0,ProgramFailure,Sequential,SingleSector,AlignedtoDiePage,InFrequent_75Commands
SD,SD,DuringTLCtoSLCRelocation,CorrectableECC_DecodePass,Random,Alignedto4K,Alignedto4K,NoPowerCycle
SD,SD,DuringWriteToBootBlock,EraseFailure,Sequential_Random,DiePageAligned,AlignedtoDiePage,NoPowerCycle
PCIe,PCIe,PCIeLinkResetWithAdminAndIOCmds,ProgramFailure,Sequential,Unalignedto4K,Unalignedto4K,InFrequent_75Commands
SD,PCIe,DuringWriteToMTMBlock,UnGracefulShutdown,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
PCIe,SD,Format_SES0_FFLBA2,GracefulShutdown,Overlapped,DiePageAligned,Unalignedto4K,NoPowerCycle
PCIe,SD,NvmSubSystemResetIdleState,UnGracefulShutdown,Sequential_Random,Unalignedto4K,Unalignedto4K,InFrequent_75Commands
PCIe,PCIe,PCIeFunctionalLevelResetIdleState,EraseFailure,Sequential_Random,DiePageAligned,AlignedtoDiePage,InFrequent_75Commands
PCIe,PCIe,Format_SES1_FFLBA2,EraseFailure,Overlapped,Alignedto4K,Alignedto4K,Frequent_25Commands
PCIe,PCIe,Format_SES0_FFLBA0,ProgramFailure,Sequential_Random,DiePageAligned,Alignedto4K,NoPowerCycle
PCIe,SD,Format_SES2_FFLBA2,Wordline_WordlineShort,Sequential_Random,Alignedto4K,Alignedto4K,InFrequent_75Commands
PCIe,PCIe,Format_SES2_FFLBA0,UncorrectableECC_DecodeFail,Random,Alignedto4K,Unalignedto4K,NoPowerCycle
PCIe,PCIe,PCIeLinkResetIdleState,ProgramFailure,Random,Unalignedto4K,AlignedtoDiePage,InFrequent_75Commands
PCIe,SD,NvmSubSystemResetWithAdminAndIOCmds,UncorrectableECC_DecodeFail,Random,DiePageAligned,Alignedto4K,Frequent_25Commands
PCIe,PCIe,ExtenedDST,ProgramFailure,Random,Unalignedto4K,Unalignedto4K,NoPowerCycle
PCIe,SD,ShortDST,Wordline_WordlineShort,Sequential,Alignedto4K,Alignedto4K,Frequent_25Commands
SD,PCIe,DuringWriteToBootBlock,ProgramFailure,Sequential,Unalignedto4K,AlignedtoDiePage,InFrequent_75Commands
SD,SD,HostWrites,EraseFailure,Sequential,SingleSector,Alignedto4K,NoPowerCycle
SD,SD,DuringWriteToMTMBlock,EraseFailure,Random,Unalignedto4K,AlignedtoDiePage,InFrequent_75Commands
SD,SD,DuringWriteToFSBlock,EraseFailure,Sequential,Unalignedto4K,AlignedtoDiePage,InFrequent_75Commands
PCIe,SD,DuringWriteToXORBlock,ProgramFailure,Overlapped,Alignedto4K,AlignedtoDiePage,InFrequent_75Commands
SD,PCIe,DuringWriteToLogBlock,ProgramFailure,Random,Unalignedto4K,AlignedtoDiePage,Frequent_25Commands
PCIe,SD,Format_SES0_FFLBA0,GracefulShutdown,Random,SingleSector,Alignedto4K,InFrequent_75Commands
SD,PCIe,DuringSLCtoTLCRelocation,CorrectableECC_DecodePass,Sequential_Random,SingleSector,Unalignedto4K,NoPowerCycle
PCIe,SD,Format_SES1_FFLBA0,UncorrectableECC_DecodeFail,Random,Unalignedto4K,Alignedto4K,NoPowerCycle
PCIe,SD,Format_SES2_FFLBA0,EraseFailure,Sequential_Random,SingleSector,AlignedtoDiePage,InFrequent_75Commands
PCIe,SD,ShortDST,UncorrectableECC_DecodeFail,Overlapped,DiePageAligned,Alignedto4K,InFrequent_75Commands
PCIe,SD,Format_SES1_FFLBA2,GracefulShutdown,Sequential_Random,DiePageAligned,Alignedto4K,InFrequent_75Commands
PCIe,PCIe,PCIeFunctionalLevelResetWithAdminAndIOCmds,UnGracefulShutdown,Overlapped,DiePageAligned,Unalignedto4K,NoPowerCycle
PCIe,SD,NvmControllerResetIdleState,UnGracefulShutdown,Overlapped,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
PCIe,SD,NvmControllerResetWithAdminAndIOCmds,Wordline_WordlineShort,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
PCIe,PCIe,PCIeFunctionalLevelResetIdleState,UnGracefulShutdown,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
PCIe,SD,ExtenedDST,Wordline_WordlineShort,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
PCIe,SD,NvmSubSystemResetWithAdminAndIOCmds,Wordline_WordlineShort,Sequential_Random,SingleSector,AlignedtoDiePage,InFrequent_75Commands
PCIe,PCIe,Format_SES0_FFLBA2,ProgramFailure,Random,Unalignedto4K,AlignedtoDiePage,InFrequent_75Commands
PCIe,PCIe,PCIeLinkResetIdleState,Wordline_WordlineShort,Overlapped,Alignedto4K,Unalignedto4K,InFrequent_75Commands
PCIe,SD,PCIeLinkResetWithAdminAndIOCmds,EraseFailure,Sequential_Random,SingleSector,AlignedtoDiePage,InFrequent_75Commands
PCIe,SD,NvmSubSystemResetIdleState,ProgramFailure,Sequential,SingleSector,AlignedtoDiePage,InFrequent_75Commands
PCIe,PCIe,Format_SES2_FFLBA2,ProgramFailure,Random,SingleSector,Unalignedto4K,NoPowerCycle
PCIe,SD,DuringTLCtoSLCRelocation,UnGracefulShutdown,Sequential_Random,SingleSector,AlignedtoDiePage,InFrequent_75Commands
PCIe,PCIe,PCIeHotLinkResetWithAdminAndIOCmds,UnGracefulShutdown,Overlapped,DiePageAligned,Unalignedto4K,Frequent_25Commands
SD,SD,DuringTLCtoSLCRelocation,GracefulShutdown,Overlapped,Alignedto4K,Unalignedto4K,InFrequent_75Commands
PCIe,SD,PCIeHotLinkResetWithAdminAndIOCmds,EraseFailure,Sequential_Random,SingleSector,AlignedtoDiePage,Frequent_25Commands
PCIe,PCIe,DuringWriteToFSBlock,UnGracefulShutdown,Overlapped,Unalignedto4K,Unalignedto4K,Frequent_25Commands
SD,PCIe,DuringWriteToBootBlock,UnGracefulShutdown,Overlapped,DiePageAligned,AlignedtoDiePage,Frequent_25Commands
PCIe,PCIe,PCIeHotLinkResetWithAdminAndIOCmds,UncorrectableECC_DecodeFail,Sequential_Random,DiePageAligned,AlignedtoDiePage,Frequent_25Commands
PCIe,SD,NvmSubSystemResetIdleState,UncorrectableECC_DecodeFail,Sequential_Random,SingleSector,AlignedtoDiePage,InFrequent_75Commands
SD,PCIe,DuringWriteToFSBlock,GracefulShutdown,Sequential,SingleSector,Unalignedto4K,Frequent_25Commands
PCIe,PCIe,ExtenedDST,UnGracefulShutdown,Sequential_Random,Alignedto4K,AlignedtoDiePage,Frequent_25Commands
PCIe,SD,DuringWriteToXORBlock,GracefulShutdown,Overlapped,Unalignedto4K,Unalignedto4K,Frequent_25Commands
PCIe,SD,PCIeLinkResetWithAdminAndIOCmds,UncorrectableECC_DecodeFail,Sequential_Random,Unalignedto4K,Alignedto4K,InFrequent_75Commands
SD,SD,HostWrites,UncorrectableECC_DecodeFail,Sequential_Random,Alignedto4K,Unalignedto4K,Frequent_25Commands
PCIe,PCIe,Format_SES0_FFLBA2,UnGracefulShutdown,Overlapped,Alignedto4K,AlignedtoDiePage,Frequent_25Commands
PCIe,PCIe,NvmControllerResetWithAdminAndIOCmds,ProgramFailure,Sequential_Random,SingleSector,Alignedto4K,Frequent_25Commands
PCIe,SD,NvmSubSystemResetWithAdminAndIOCmds,CorrectableECC_DecodePass,Random,DiePageAligned,Unalignedto4K,Frequent_25Commands
PCIe,PCIe,DuringWriteToMTMBlock,UncorrectableECC_DecodeFail,Overlapped,DiePageAligned,Alignedto4K,Frequent_25Commands
PCIe,SD,ExtenedDST,UncorrectableECC_DecodeFail,Overlapped,Unalignedto4K,AlignedtoDiePage,Frequent_25Commands
SD,PCIe,DuringWriteToLogBlock,UnGracefulShutdown,Sequential_Random,DiePageAligned,Unalignedto4K,NoPowerCycle
SD,PCIe,HostWrites,ProgramFailure,Sequential,SingleSector,Alignedto4K,InFrequent_75Commands
PCIe,SD,NvmSubSystemResetIdleState,GracefulShutdown,Random,SingleSector,Unalignedto4K,NoPowerCycle
SD,PCIe,DuringSLCtoTLCRelocation,EraseFailure,Overlapped,Alignedto4K,AlignedtoDiePage,Frequent_25Commands
PCIe,SD,Format_SES0_FFLBA2,CorrectableECC_DecodePass,Random,Alignedto4K,Unalignedto4K,NoPowerCycle
SD,SD,DuringWriteToXORBlock,EraseFailure,Sequential,DiePageAligned,Alignedto4K,InFrequent_75Commands
SD,SD,DuringWriteToBootBlock,CorrectableECC_DecodePass,Sequential_Random,DiePageAligned,Unalignedto4K,Frequent_25Commands
SD,SD,DuringSLCtoTLCRelocation,UncorrectableECC_DecodeFail,Overlapped,DiePageAligned,AlignedtoDiePage,NoPowerCycle
SD,SD,DuringWriteToFSBlock,CorrectableECC_DecodePass,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
SD,SD,DuringTLCtoSLCRelocation,Wordline_WordlineShort,Random,DiePageAligned,AlignedtoDiePage,InFrequent_75Commands
PCIe,SD,Format_SES1_FFLBA2,ProgramFailure,Sequential_Random,Unalignedto4K,Unalignedto4K,NoPowerCycle
SD,SD,DuringWriteToMTMBlock,GracefulShutdown,Random,Alignedto4K,AlignedtoDiePage,NoPowerCycle
PCIe,PCIe,DuringTLCtoSLCRelocation,UncorrectableECC_DecodeFail,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
PCIe,PCIe,Format_SES2_FFLBA0,Wordline_WordlineShort,Sequential_Random,SingleSector,AlignedtoDiePage,Frequent_25Commands
SD,SD,DuringWriteToBootBlock,Wordline_WordlineShort,Sequential,Unalignedto4K,AlignedtoDiePage,InFrequent_75Commands
PCIe,SD,Format_SES2_FFLBA0,GracefulShutdown,Sequential_Random,SingleSector,AlignedtoDiePage,InFrequent_75Commands
SD,PCIe,DuringWriteToLogBlock,GracefulShutdown,Random,SingleSector,AlignedtoDiePage,Frequent_25Commands
SD,SD,HostWrites,Wordline_WordlineShort,Overlapped,DiePageAligned,Alignedto4K,NoPowerCycle
PCIe,SD,Format_SES2_FFLBA2,GracefulShutdown,Sequential,Unalignedto4K,Unalignedto4K,InFrequent_75Commands
SD,SD,DuringSLCtoTLCRelocation,GracefulShutdown,Sequential_Random,SingleSector,Alignedto4K,Frequent_25Commands
SD,SD,DuringWriteToXORBlock,Wordline_WordlineShort,Overlapped,DiePageAligned,AlignedtoDiePage,Frequent_25Commands
SD,SD,DuringWriteToMTMBlock,CorrectableECC_DecodePass,Sequential_Random,SingleSector,Unalignedto4K,InFrequent_75Commands
SD,PCIe,DuringWriteToLogBlock,UncorrectableECC_DecodeFail,Sequential_Random,Alignedto4K,AlignedtoDiePage,InFrequent_75Commands
PCIe,PCIe,PCIeLinkResetIdleState,CorrectableECC_DecodePass,Overlapped,Unalignedto4K,AlignedtoDiePage,Frequent_25Commands
PCIe,PCIe,NvmControllerResetIdleState,UncorrectableECC_DecodeFail,Sequential,Unalignedto4K,Unalignedto4K,InFrequent_75Commands
PCIe,SD,Format_SES2_FFLBA2,CorrectableECC_DecodePass,Sequential_Random,SingleSector,Unalignedto4K,NoPowerCycle
PCIe,PCIe,PCIeLinkResetWithAdminAndIOCmds,UnGracefulShutdown,Random,DiePageAligned,AlignedtoDiePage,InFrequent_75Commands
PCIe,PCIe,PCIeFunctionalLevelResetIdleState,ProgramFailure,Sequential,DiePageAligned,Unalignedto4K,Frequent_25Commands
PCIe,SD,ShortDST,EraseFailure,Sequential,SingleSector,Unalignedto4K,InFrequent_75Commands
PCIe,SD,Format_SES0_FFLBA0,Wordline_WordlineShort,Overlapped,Unalignedto4K,Unalignedto4K,NoPowerCycle
PCIe,SD,Format_SES1_FFLBA0,GracefulShutdown,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
PCIe,SD,PCIeHotLinkResetWithAdminAndIOCmds,ProgramFailure,Sequential_Random,DiePageAligned,Unalignedto4K,Frequent_25Commands
PCIe,SD,ExtenedDST,EraseFailure,Sequential,Unalignedto4K,Alignedto4K,InFrequent_75Commands
PCIe,PCIe,ShortDST,GracefulShutdown,Overlapped,Alignedto4K,AlignedtoDiePage,Frequent_25Commands
PCIe,PCIe,Format_SES0_FFLBA0,UnGracefulShutdown,Overlapped,Alignedto4K,AlignedtoDiePage,InFrequent_75Commands
PCIe,PCIe,Format_SES0_FFLBA0,CorrectableECC_DecodePass,Sequential,Alignedto4K,AlignedtoDiePage,Frequent_25Commands
PCIe,PCIe,ShortDST,ProgramFailure,Sequential,Alignedto4K,AlignedtoDiePage,Frequent_25Commands
PCIe,SD,NvmControllerResetWithAdminAndIOCmds,GracefulShutdown,Random,Unalignedto4K,Unalignedto4K,InFrequent_75Commands
PCIe,SD,Format_SES0_FFLBA2,Wordline_WordlineShort,Random,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
PCIe,PCIe,PCIeFunctionalLevelResetIdleState,GracefulShutdown,Random,Unalignedto4K,Alignedto4K,Frequent_25Commands
PCIe,SD,NvmSubSystemResetWithAdminAndIOCmds,UnGracefulShutdown,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
PCIe,PCIe,PCIeLinkResetIdleState,EraseFailure,Sequential_Random,SingleSector,Alignedto4K,Frequent_25Commands
PCIe,PCIe,NvmSubSystemResetWithAdminAndIOCmds,GracefulShutdown,Sequential_Random,Unalignedto4K,Unalignedto4K,InFrequent_75Commands
PCIe,PCIe,NvmControllerResetWithAdminAndIOCmds,EraseFailure,Sequential_Random,Alignedto4K,Unalignedto4K,InFrequent_75Commands
PCIe,PCIe,Format_SES2_FFLBA0,ProgramFailure,Overlapped,Unalignedto4K,Unalignedto4K,InFrequent_75Commands
PCIe,PCIe,PCIeLinkResetIdleState,UncorrectableECC_DecodeFail,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
PCIe,PCIe,Format_SES1_FFLBA0,CorrectableECC_DecodePass,Random,Unalignedto4K,Alignedto4K,Frequent_25Commands
PCIe,SD,Format_SES2_FFLBA2,EraseFailure,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
PCIe,PCIe,Format_SES1_FFLBA2,CorrectableECC_DecodePass,Sequential_Random,SingleSector,Alignedto4K,NoPowerCycle
PCIe,SD,NvmSubSystemResetIdleState,CorrectableECC_DecodePass,Random,DiePageAligned,AlignedtoDiePage,InFrequent_75Commands
PCIe,SD,PCIeLinkResetWithAdminAndIOCmds,GracefulShutdown,Sequential_Random,DiePageAligned,AlignedtoDiePage,InFrequent_75Commands
PCIe,SD,Format_SES1_FFLBA2,UncorrectableECC_DecodeFail,Overlapped,DiePageAligned,AlignedtoDiePage,InFrequent_75Commands
PCIe,PCIe,PCIeFunctionalLevelResetIdleState,CorrectableECC_DecodePass,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
PCIe,PCIe,PCIeFunctionalLevelResetWithAdminAndIOCmds,ProgramFailure,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
PCIe,PCIe,PCIeFunctionalLevelResetWithAdminAndIOCmds,Wordline_WordlineShort,Sequential_Random,Alignedto4K,Alignedto4K,NoPowerCycle
PCIe,SD,NvmControllerResetIdleState,EraseFailure,Random,SingleSector,Unalignedto4K,Frequent_25Commands
PCIe,SD,NvmControllerResetIdleState,CorrectableECC_DecodePass,Sequential,Alignedto4K,Unalignedto4K,Frequent_25Commands
SD,SD,NoError,NoError,Overlapped,Alignedto4K,Unalignedto4K,Frequent_25Commands
SD,PCIe,NoError,NoError,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
PCIe,PCIe,PCIeFunctionalLevelResetWithAdminAndIOCmds,CorrectableECC_DecodePass,Sequential_Random,DiePageAligned,Alignedto4K,NoPowerCycle
PCIe,SD,Format_SES1_FFLBA0,Wordline_WordlineShort,Sequential,Unalignedto4K,Unalignedto4K,Frequent_25Commands
PCIe,PCIe,NoError,NoError,Sequential_Random,Unalignedto4K,Unalignedto4K,InFrequent_75Commands
